_date,total_views,unique_views
2022-03-11,13,3
2022-03-16,25,2
2022-03-25,2,1
2022-04-02,17,2
2022-04-05,1,1
2022-04-06,4,1
2022-04-07,2,1
2022-04-10,1,1
2022-04-11,1,1
2022-04-13,1,1
2022-04-14,3,1
2022-04-21,1,1
2022-05-04,1,1
2022-05-05,1,1
2022-05-09,3,1
2022-05-17,7,3
2022-05-18,8,1
2022-05-29,1,1
2022-05-30,1,1
2022-06-09,6,2
2022-07-28,3,1
2022-08-06,3,1
2022-08-12,8,2
2022-08-30,1,1
2022-09-13,1,1
2022-09-14,1,1
2022-09-19,5,1
2022-09-20,2,1
2022-10-07,6,1
2022-11-08,1,1
2022-12-16,1,1
2022-12-27,3,1
2023-01-13,3,2
2023-01-17,2,1
2023-01-25,1,1
2023-01-27,7,3
2023-01-30,2,1
2023-02-15,3,1
2023-03-09,3,1
2023-04-12,4,1
2023-04-15,1,1
2023-05-05,1,1
2023-06-15,3,1
2023-07-04,3,2
2023-08-21,10,1
2023-08-28,1,1
2023-09-04,7,1
2023-09-11,10,1
2023-09-12,10,1
2023-09-20,1,1
2023-09-25,11,2
2023-10-14,5,1
2023-10-19,5,2
2023-10-20,15,2
2023-10-22,7,1
2023-10-24,1,1
2023-11-09,18,11
2023-11-10,4,2
2023-11-12,1,1
2023-11-13,11,5
2023-11-14,2,2
2023-11-15,1,1
2023-11-21,3,1
2023-11-24,3,1
2023-11-28,1,1
2023-11-30,1,1
2023-12-06,1,1
2023-12-08,1,1
2023-12-10,1,1
2023-12-11,62,6
2023-12-12,10,4
2023-12-13,25,2
2023-12-15,8,2
2024-01-17,1,1
2024-01-22,3,1
2024-01-23,6,3
2024-01-30,1,1
2024-02-02,9,2
2024-02-03,5,1
2024-02-05,1,1
2024-02-09,2,1
2024-02-14,1,1
2024-02-15,2,1
2024-03-06,1,1
2024-03-11,5,1
2024-04-05,9,1
2024-04-10,2,1
2024-04-17,21,3
2024-04-18,10,2
2024-04-22,1,1
2024-04-25,14,1
2024-04-28,5,1
2024-04-29,2,1
2024-04-30,3,1
2024-05-01,10,1
2024-05-03,1,1
2024-05-05,21,1
2024-05-07,17,1
2024-05-13,9,1
2024-05-14,2,1
2024-05-15,5,1
2024-05-17,2,1
2024-05-22,12,5
2024-05-23,10,2
2024-05-24,7,1
2024-05-25,5,1
2024-05-26,2,1
2024-05-28,1,1
2024-06-04,3,1
2024-06-10,6,3
2024-06-11,1,1
2024-06-13,1,1
2024-06-17,7,1
2024-06-28,1,1
2024-06-29,7,1
2024-07-01,20,1
2024-07-02,4,1
2024-07-03,1,1
2024-07-04,1,1
2024-07-15,8,3
2024-07-22,1,1
2024-07-23,7,3
2024-07-25,1,1
2024-09-02,3,1
2024-10-20,1,1
2024-10-28,1,1
2024-11-05,1,1
2024-11-07,4,1
2024-11-18,1,1
2024-12-13,1,1
2024-12-18,2,2
2024-12-19,4,1
2024-12-20,4,1
2024-12-27,4,1
2024-12-31,2,1
2025-01-02,1,1
2025-01-13,2,1
2025-01-19,1,1
2025-01-20,2,1
2025-01-26,1,1
2025-02-02,5,1
2025-02-04,5,1
2025-02-05,4,1
2025-02-17,1,1
2025-02-20,1,1
2025-02-28,10,1
2025-03-29,3,1
2025-03-31,1,1
2025-04-07,2,1
2025-04-09,1,1
2025-04-12,4,1
2025-04-21,1,1
2025-05-28,2,1
2025-06-18,1,1
2025-07-13,11,2
2025-07-31,2,1
2025-08-01,2,1
2025-08-06,2,1
2025-08-08,2,1
2025-08-13,2,1
2025-08-18,3,2
2025-09-15,1,1
2025-10-07,8,2
2025-10-22,1,1
2025-10-28,1,1
2025-11-10,1,1
2025-11-11,1,1
2025-12-14,0,0
2025-12-15,0,0
2025-12-16,0,0
2025-12-17,0,0
2025-12-18,0,0
2025-12-19,0,0
2025-12-20,0,0
2025-12-21,0,0
2025-12-22,0,0
2025-12-23,0,0
2025-12-24,0,0
2025-12-25,0,0
2025-12-26,0,0
2025-12-27,0,0
2025-12-28,0,0
2025-12-29,1,1
2025-12-30,0,0
2025-12-31,0,0
2026-01-01,0,0
2026-01-02,0,0
2026-01-03,0,0
2026-01-04,0,0
2026-01-05,0,0
2026-01-06,1,1
2026-01-07,1,1
2026-01-08,0,0
2026-01-09,1,1
2026-01-10,0,0
2026-01-11,0,0
2026-01-12,0,0
2026-01-13,0,0
2026-01-14,0,0
2026-01-15,0,0
2026-01-16,0,0
2026-01-17,1,1
2026-01-18,0,0
2026-01-19,0,0
2026-01-20,0,0
2026-01-21,0,0
2026-01-22,0,0
2026-01-23,0,0
2026-01-24,0,0
2026-01-25,0,0
2026-01-26,0,0
2026-01-27,0,0
2026-01-28,1,1
2026-01-29,0,0
2026-01-30,0,0
2026-01-31,0,0
2026-02-01,0,0
2026-02-02,0,0
2026-02-03,0,0
2026-02-04,0,0
2026-02-05,0,0
2026-02-06,0,0
2026-02-07,0,0
2026-02-08,0,0
2026-02-09,0,0
2026-02-10,0,0
2026-02-11,0,0
2026-02-12,1,1
2026-02-13,0,0
